Temps(s),Engine Coolant Température
1,56
2,56
3,56
4,57
5,57
6,57
7,57
8,58
9,58
10,58
11,59
12,59
13,6
14,6
15,6
16,61
17,61
18,61
19,61
20,62
21,62
22,63
23,63
24,63
25,63
26,64
27,65
28,65
29,65
30,65
31,65
32,66
33,66
34,66
35,66
36,66
37,66
38,66
39,67
40,67
41,67
42,67
43,67
44,67
45,67
46,68
47,68
48,68
49,68
50,68
51,68
52,68
53,68
54,68
55,68
56,68
57,68
58,68
59,68
60,68
61,69
62,69
63,69
64,69
65,69
66,69
67,69
68,69
69,69
70,69
71,7
72,7
73,7
74,7
75,7
76,7
77,7
78,7
79,7
80,7
81,7
82,7
83,7
84,7
85,7
86,7
87,7
88,7
89,7
90,7
91,7
92,7
93,7
94,71
95,71
96,71
97,71
98,71
99,71
100,72
101,72
102,73
103,73
104,73
105,73
106,74
107,74
108,75
109,75
110,75
111,75
112,75
113,76
114,76
115,76
116,76
117,76
118,76
119,76
120,76
121,76
122,77
123,77
124,77
125,77
126,77
127,77
128,77
129,78
130,78
131,78
132,78
133,78
134,78
135,78
136,78
137,78
138,78
139,78
140,78
141,78
142,78
143,78
144,79
145,79
146,79
147,79
148,8
149,8
150,8
151,8
152,8
153,8
154,8
155,81
156,81
157,81
158,81
159,82
160,82
161,82
162,83
163,83
164,83
165,83
166,83
167,83
168,83
169,83
170,83
171,83
172,83
173,83
174,83
175,83
176,83
177,83
178,83
179,83
180,83
181,83
182,83
183,83
184,83
185,83
186,83
187,83
188,83
189,83
190,83
191,83
192,83
193,83
194,83
195,83
196,83
197,83
198,83
199,83
200,83
201,83
202,83
203,83
204,83
205,83
206,83
207,83
208,84
209,84
210,84
211,84
212,84
213,84
214,84
215,84
216,84
217,84
218,84
219,84
220,84
221,84
222,84
223,84
224,84
225,84
226,84
227,84
228,84
229,84
230,84
231,84
232,84
233,84
234,84
235,84
236,84
237,84
238,84
239,84
240,84
241,84
242,84
243,84
244,84
245,84
246,84
247,84
248,84
249,84
250,84
251,84
252,84
253,84
254,84
255,84
256,84
257,84
258,84
259,84
260,84
261,84
262,84
263,84
264,84
265,84
266,84
267,84
268,84
269,84
270,84
271,85
272,85
273,84
274,84
275,84
276,85
277,85
278,85
279,85
280,85
281,85
282,85
283,85
284,85
285,85
286,85
287,85
288,85
289,85
290,85
291,85
292,85
293,85
294,85
295,85
296,85
297,85
298,85
299,85
300,85
301,85
302,85
303,85
304,85
305,85
306,85
307,85
308,85
309,85
310,85
311,85
312,85
313,85
314,85
315,85
316,85
317,85
318,85
319,85
320,85
321,86
322,86
323,86
324,86
325,86
326,86
327,86
328,86
329,86
330,85
331,85
332,85
333,85
334,85
335,85
336,85
337,85
338,85
339,85
340,85
341,85
342,85
343,85
344,85
345,85
346,85
347,85
348,85
349,85
350,85
351,85
352,85
353,85
354,85
355,85
356,85
357,85
358,85
359,85
